,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,771,1512,51,286,831,34.4,286,774,37,196,628,31.2
Boston Celtics,947,1851,51.2,296,795,37.2,300,764,39.3,273,748,36.5
Charlotte Hornets,782,1382,56.6,301,801,37.6,320,800,40,268,730,36.7
Chicago Bulls,770,1541,50,254,809,31.4,338,876,38.6,177,605,29.3
Cleveland Cavaliers,797,1589,50.2,281,689,40.8,301,748,40.2,182,527,34.5
Dallas Mavericks,808,1504,53.7,344,905,38,396,1024,38.7,201,590,34.1
Denver Nuggets,818,1566,52.2,269,730,36.8,295,777,38,299,911,32.8
Detroit Pistons,812,1464,55.5,351,877,40,249,696,35.8,248,674,36.8
Golden State Warriors,837,1743,48,328,861,38.1,405,1006,40.3,160,554,28.9
Houston Rockets,952,1646,57.8,262,705,37.2,208,536,38.8,331,903,36.7
Indiana Pacers,766,1446,53,338,868,38.9,334,754,44.3,292,787,37.1
Los Angeles Clippers,971,1862,52.1,249,728,34.2,278,749,37.1,213,660,32.3
Los Angeles Lakers,1102,1899,58,246,662,37.2,252,688,36.6,241,678,35.5
Miami Heat,759,1352,56.1,263,657,40,311,762,40.8,283,790,35.8
Milwaukee Bucks,795,1435,55.4,366,919,39.8,362,848,42.7,230,609,37.8
Minnesota Timberwolves,759,1524,49.8,368,982,37.5,590,1413,41.8,121,400,30.3
New Jersey Nets,848,1690,50.2,197,661,29.8,422,1130,37.3,224,672,33.3
New York Knicks,840,1637,51.3,308,868,35.5,254,610,41.6,206,580,35.5
Orlando Magic,817,1562,52.3,262,707,37.1,385,998,38.6,223,658,33.9
Philadelphia 76ers,895,1689,53,361,1004,36,302,819,36.9,98,364,26.9
Phoenix Suns,847,1512,56,344,890,38.7,345,901,38.3,261,696,37.5
Portland Trail Blazers,886,1652,53.6,237,661,35.9,378,968,39,246,667,36.9
Sacramento Kings,1166,2028,57.5,225,637,35.3,238,700,34,289,931,31
San Antonio Spurs,982,1761,55.8,272,729,37.3,314,801,39.2,172,514,33.5
Seattle SuperSonics,984,1774,55.5,202,629,32.1,262,677,38.7,308,892,34.5
Toronto Raptors,805,1575,51.1,303,891,34,326,812,40.1,226,653,34.6
Utah Jazz,911,1633,55.8,234,636,36.8,402,968,41.5,137,379,36.1
Vancouver Grizzlies,919,1816,50.6,232,677,34.3,344,894,38.5,148,444,33.3
Washington Wizards,842,1537,54.8,374,957,39.1,372,897,41.5,180,576,31.3
