,LESS THAN 8FT.,,,8-16 FT.,,,16-24 FT.,,,24+ FT.,,
TEAM,FGM-C,FGA-C,FG%-C,FGM-M,FGA-M,FG%-M,FGM-L,FGA-L,FG%-L,FGM-T,FGA-T,FG%-T
Atlanta Hawks,1335,2638,50.6,676,1777,38,532,1317,40.4,332,920,36.1
Boston Celtics,1354,2729,49.6,369,957,38.6,459,1166,39.4,591,1616,36.6
Charlotte Hornets,1274,2360,54,530,1435,36.9,656,1723,38.1,339,971,34.9
Chicago Bulls,1242,2420,51.3,549,1436,38.2,602,1607,37.5,328,935,35.1
Cleveland Cavaliers,1469,2855,51.5,617,1529,40.4,585,1490,39.3,218,632,34.5
Dallas Mavericks,1411,2535,55.7,567,1416,40,590,1408,41.9,517,1340,38.6
Denver Nuggets,1485,2707,54.9,444,1205,36.8,538,1521,35.4,512,1439,35.6
Detroit Pistons,1335,2581,51.7,425,1234,34.4,769,1952,39.4,389,1105,35.2
Golden State Warriors,1534,3020,50.8,481,1467,32.8,640,1726,37.1,281,948,29.6
Houston Rockets,1501,2670,56.2,429,1089,39.4,509,1325,38.4,502,1389,36.1
Indiana Pacers,1248,2420,51.6,547,1304,41.9,638,1548,41.2,395,1142,34.6
Los Angeles Clippers,1543,2783,55.4,527,1429,36.9,466,1193,39.1,360,1055,34.1
Los Angeles Lakers,1610,2747,58.6,512,1318,38.8,549,1346,40.8,438,1258,34.8
Miami Heat,1188,2270,52.3,431,1143,37.7,598,1464,40.8,477,1361,35
Milwaukee Bucks,1132,2061,54.9,914,2040,44.8,505,1216,41.5,558,1461,38.2
Minnesota Timberwolves,1334,2446,54.5,546,1363,40.1,946,2159,43.8,322,891,36.1
New Jersey Nets,1458,2727,53.5,367,1149,31.9,596,1591,37.5,358,1067,33.6
New York Knicks,1287,2407,53.5,548,1415,38.7,530,1262,42,390,1103,35.4
Orlando Magic,1402,2628,53.3,400,1114,35.9,722,1786,40.4,488,1326,36.8
Philadelphia 76ers,1542,2775,55.6,603,1715,35.2,495,1195,41.4,261,789,33.1
Phoenix Suns,1375,2622,52.4,543,1420,38.2,694,1662,41.8,332,1036,32
Portland Trail Blazers,1485,2630,56.5,457,1101,41.5,695,1632,42.6,367,1040,35.3
Sacramento Kings,1709,3119,54.8,340,896,37.9,605,1602,37.8,476,1330,35.8
San Antonio Spurs,1351,2466,54.8,567,1422,39.9,520,1280,40.6,444,1078,41.2
Seattle SuperSonics,1759,3307,53.2,392,1082,36.2,413,1092,37.8,465,1157,40.2
Toronto Raptors,1339,2453,54.6,448,1260,35.6,832,2095,39.7,429,1145,37.5
Utah Jazz,1608,2841,56.6,370,970,38.1,662,1638,40.4,319,832,38.3
Vancouver Grizzlies,1240,2371,52.3,409,1108,36.9,897,2114,42.4,324,943,34.4
Washington Wizards,1373,2674,51.3,644,1628,39.6,541,1303,41.5,275,842,32.7
